ROI Label,input_roi,output_roi,mapped_indices
130,17Networks_LH_ContA_IPS_3,7Networks_LH_Cont_Par_4,123
131,17Networks_LH_ContB_IPL_3,7Networks_LH_Cont_Par_5,137
132,17Networks_LH_ContA_IPS_4,7Networks_LH_Cont_Par_6,124
133,17Networks_LH_ContB_Temp_2,7Networks_LH_Cont_Temp_1,134
134,17Networks_LH_SalVentAttnB_OFC_1,7Networks_LH_Cont_OFC_1,106
135,17Networks_LH_ContB_PFClv_1,7Networks_LH_Cont_PFCl_1,139
136,17Networks_LH_ContA_PFClv_1,7Networks_LH_Cont_PFCl_2,127
137,17Networks_LH_SalVentAttnB_PFCl_1,7Networks_LH_Cont_PFCl_3,100
138,17Networks_LH_ContB_PFClv_3,7Networks_LH_Cont_PFCl_4,141
139,17Networks_LH_ContA_PFClv_2,7Networks_LH_Cont_PFCl_5,128
140,17Networks_LH_ContA_PFCl_2,7Networks_LH_Cont_PFCl_6,130
141,17Networks_LH_ContA_PFCl_3,7Networks_LH_Cont_PFCl_7,131
142,17Networks_LH_SalVentAttnB_PFCl_3,7Networks_LH_Cont_PFCl_8,102
143,17Networks_LH_SalVentAttnB_Ins_1,7Networks_LH_Cont_PFCv_1,103
144,17Networks_LH_ContC_pCun_2,7Networks_LH_Cont_pCun_1,144
145,17Networks_LH_ContC_pCun_3,7Networks_LH_Cont_pCun_2,145
146,17Networks_LH_ContA_Cingm_1,7Networks_LH_Cont_Cing_1,132
147,17Networks_LH_ContC_Cingp_2,7Networks_LH_Cont_Cing_2,147
148,17Networks_LH_ContB_PFCmp_1,7Networks_LH_Cont_PFCmp_1,142
149,17Networks_LH_DefaultB_Temp_2,7Networks_LH_Default_Temp_1,167
150,17Networks_LH_DefaultB_Temp_3,7Networks_LH_Default_Temp_2,168
151,17Networks_LH_ContB_Temp_1,7Networks_LH_Default_Temp_3,133
152,17Networks_LH_DefaultB_Temp_4,7Networks_LH_Default_Temp_4,169
153,17Networks_LH_TempPar_1,7Networks_LH_Default_Temp_5,194
154,17Networks_LH_DefaultB_Temp_5,7Networks_LH_Default_Temp_6,170
155,17Networks_LH_DefaultB_Temp_6,7Networks_LH_Default_Temp_7,171
156,17Networks_LH_TempPar_2,7Networks_LH_Default_Temp_8,195
157,17Networks_LH_TempPar_3,7Networks_LH_Default_Temp_9,196
158,17Networks_LH_TempPar_4,7Networks_LH_Default_Temp_10,197
159,17Networks_LH_TempPar_6,7Networks_LH_Default_Par_1,199
160,17Networks_LH_DefaultB_IPL_1,7Networks_LH_Default_Par_2,172
161,17Networks_LH_DefaultC_IPL_1,7Networks_LH_Default_Par_3,187
162,17Networks_LH_DefaultA_IPL_1,7Networks_LH_Default_Par_4,148
163,17Networks_LH_DefaultB_IPL_2,7Networks_LH_Default_Par_5,173
164,17Networks_LH_DefaultA_IPL_2,7Networks_LH_Default_Par_6,149
165,17Networks_LH_ContB_IPL_1,7Networks_LH_Default_Par_7,135
166,17Networks_LH_DefaultB_PFCv_1,7Networks_LH_Default_PFC_1,182
167,17Networks_LH_DefaultB_PFCv_2,7Networks_LH_Default_PFC_2,183
168,17Networks_LH_DefaultA_PFCm_1,7Networks_LH_Default_PFC_3,160
169,17Networks_LH_DefaultA_PFCm_2,7Networks_LH_Default_PFC_4,161
170,17Networks_LH_DefaultB_PFCv_3,7Networks_LH_Default_PFC_5,184
171,17Networks_LH_ContB_PFClv_2,7Networks_LH_Default_PFC_6,140
172,17Networks_LH_DefaultB_PFCv_4,7Networks_LH_Default_PFC_7,185
173,17Networks_LH_DefaultA_PFCm_3,7Networks_LH_Default_PFC_8,162
174,17Networks_LH_DefaultA_PFCm_4,7Networks_LH_Default_PFC_9,163
175,17Networks_LH_DefaultB_PFCv_5,7Networks_LH_Default_PFC_10,186
176,17Networks_LH_DefaultA_PFCm_5,7Networks_LH_Default_PFC_11,164
177,17Networks_LH_DefaultA_PFCm_6,7Networks_LH_Default_PFC_12,165
178,17Networks_LH_DefaultB_PFCd_1,7Networks_LH_Default_PFC_13,174
179,17Networks_LH_DefaultB_PFCd_2,7Networks_LH_Default_PFC_14,175
180,17Networks_LH_DefaultB_PFCd_3,7Networks_LH_Default_PFC_15,176
181,17Networks_LH_DefaultA_PFCd_1,7Networks_LH_Default_PFC_16,150
182,17Networks_LH_DefaultB_PFCl_1,7Networks_LH_Default_PFC_17,180
183,17Networks_LH_DefaultB_PFCd_4,7Networks_LH_Default_PFC_18,177
